City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Ostersund,SE,2021-06-02 15:31:57,63.1792,14.6357,72.61,30,0,11.5
147,Dingle,PH,2021-06-02 15:31:57,10.9995,122.6711,76.71,91,100,6.04
148,Ostrovnoy,RU,2021-06-02 15:31:57,68.0531,39.5131,45.41,85,93,12.64
149,Arman,RU,2021-06-02 15:31:58,59.7,150.1667,38.32,96,100,1.25
150,Izumo,JP,2021-06-02 15:31:58,35.3667,132.7667,69.75,84,52,5.12
151,Puerto Narino,CO,2021-06-02 15:31:58,-3.7703,-70.3831,82.35,71,10,2.55
152,Benghazi,LY,2021-06-02 15:31:59,32.1167,20.0667,76.19,47,17,21.59
153,Port Elizabeth,ZA,2021-06-02 15:31:59,-33.918,25.5701,62.89,77,40,16.11
154,Volovo,UA,2021-06-02 15:31:59,48.5246,23.5056,56.61,63,100,7.72
155,Sao Filipe,CV,2021-06-02 15:32:00,14.8961,-24.4956,74.68,74,93,12.35
156,Buchanan,LR,2021-06-02 15:32:00,5.8808,-10.0467,83.52,73,100,8.34
157,Vardo,NO,2021-06-02 15:32:00,70.3705,31.1107,66.4,77,33,3.4
158,Avera,US,2021-06-02 15:32:01,33.194,-82.5271,76.71,44,100,5.32
159,Micheweni,TZ,2021-06-02 15:32:01,-4.9667,39.8333,77.29,78,84,7.94
160,San Cristobal,VE,2021-06-02 15:32:01,7.7669,-72.225,75.38,56,100,5.26
161,Caborca,MX,2021-06-02 15:32:02,30.5838,-111.101,76.5,20,20,3.71
162,Mufumbwe,ZM,2021-06-02 15:32:02,-13.6833,24.8,70.36,37,70,0.92
163,Kandrian,PG,2021-06-02 15:32:02,-6.2167,149.55,76.98,92,100,5.82
164,Atambua,ID,2021-06-02 15:32:03,-9.1061,124.8925,72.05,88,62,4.9
165,Besikduzu,TR,2021-06-02 15:32:03,41.052,39.2284,60.69,98,97,7.99
166,Banjar,ID,2021-06-02 15:32:03,-8.19,114.9675,80.46,89,73,2.3
167,Chuy,UY,2021-06-02 15:32:04,-33.6971,-53.4616,64.06,57,34,12.73
168,Shenzhen,CN,2021-06-02 15:28:32,22.5455,114.0683,86.22,94,98,5.37
169,Esperance,AU,2021-06-02 15:32:04,-33.8667,121.9,57.04,78,72,8.9
170,Lazaro Cardenas,MX,2021-06-02 15:32:04,17.9583,-102.2,88.77,52,96,1.34
171,Sampit,ID,2021-06-02 15:32:05,-2.5333,112.95,74.98,94,3,2.75
172,Bella Vista,US,2021-06-02 15:32:05,36.4295,-94.2316,65.25,92,90,1.99
173,Monte San Giovanni Campano,IT,2021-06-02 15:32:05,41.6406,13.5137,74.71,62,95,3.18
174,Sarapul,RU,2021-06-02 15:32:06,56.4763,53.7978,62.42,58,86,9.89
175,Nadym,RU,2021-06-02 15:32:06,65.5333,72.5167,42.1,52,97,9.69
176,Phalaborwa,ZA,2021-06-02 15:32:06,-23.943,31.1411,67.28,52,6,5.46
177,Kholmogory,RU,2021-06-02 15:32:06,64.2229,41.656,62.71,54,87,6.46
178,Narsaq,GL,2021-06-02 15:32:07,60.9167,-46.05,48.42,56,100,7.54
179,Minas,UY,2021-06-02 15:32:07,-34.3759,-55.2377,57.67,74,79,15.66
180,Carnarvon,AU,2021-06-02 15:32:07,-24.8667,113.6333,57.27,82,76,8.05
181,Borogontsy,RU,2021-06-02 15:32:08,62.6683,131.1683,50.81,65,20,4.52
182,Podgorica,ME,2021-06-02 15:31:49,42.4411,19.2636,76.78,29,20,11.5
